Protein_1,Protein_2,ID.x,ID.y,clustID,avg_score,class,jaccard
O15047,O14686,SETD1A,KMT2D,huMAP3_08895.1,-0.618634694617175,,0.303030303030303
O15084,O00743,ANKRD28,PPP6C,huMAP3_01958.1,-0.441556384397891,,0.186046511627907
O15116,O14744,LSM1,PRMT5,huMAP3_02465.1,0.698399591283817,,0.210526315789474
O15116,O14744,LSM1,PRMT5,huMAP3_08980.1,0.553697267098576,,0.210526315789474
O15116,O14893,LSM1,GEMIN2,huMAP3_08980.1,-0.361595065967783,,0.325301204819277
O15127,O14681,SCAMP2,EI24,huMAP3_06247.1,0.681032381940079,,0.367601246105919
O15127,O14681,SCAMP2,EI24,huMAP3_07410.1,0.301850458181297,,0.367601246105919
O15127,O14828,SCAMP2,SCAMP3,huMAP3_06247.1,-0.744757053410336,,0.266447368421053
O15144,O15143,ARPC2,ARPC1B,huMAP3_04814.1,1.43682855011458,,0.390909090909091
O15145,O15020,ARPC3,SPTBN2,huMAP3_05473.1,-1.27523940610017,,0.224137931034483
O15145,O15143,ARPC3,ARPC1B,huMAP3_04814.1,1.24607437921635,,0.289719626168224
O15145,O15143,ARPC3,ARPC1B,huMAP3_07760.1,1.60136298340067,,0.289719626168224
O15145,O15144,ARPC3,ARPC2,huMAP3_04814.1,1.67471400988093,structurally_consistent,0.382352941176471
O15155,A2RRP1,BET1,NBAS,huMAP3_03203.1,-0.67619689525152,,0.529411764705882
O15155,A2RRP1,BET1,NBAS,huMAP3_06458.1,-0.67619689525152,,0.529411764705882
O15155,A2RRP1,BET1,NBAS,huMAP3_08929.1,-0.67619689525152,,0.529411764705882
O15155,O00161,BET1,SNAP23,huMAP3_06458.1,-0.18130474552037,,0.246913580246914
O15155,O00161,BET1,SNAP23,huMAP3_08929.1,-0.18130474552037,,0.246913580246914
O15155,O14653,BET1,GOSR2,huMAP3_03203.1,-0.730030871758698,,0.408450704225352
O15155,O14653,BET1,GOSR2,huMAP3_06458.1,-0.730030871758698,,0.408450704225352
O15155,O14653,BET1,GOSR2,huMAP3_08929.1,-0.730030871758698,,0.408450704225352
O15155,O14662,BET1,STX16,huMAP3_06458.1,-0.497330257064687,,0.416666666666667
O15155,O14662,BET1,STX16,huMAP3_08929.1,-0.497330257064687,,0.416666666666667
O15160,O14802,POLR1C,POLR3A,huMAP3_06426.1,0.32626940744668,,0.5625
O15160,O14802,POLR1C,POLR3A,huMAP3_08487.1,0.32626940744668,,0.5625
O15212,O14802,PFDN6,POLR3A,huMAP3_00807.1,0.293773869344796,,0.238636363636364
O15212,O14802,PFDN6,POLR3A,huMAP3_06426.1,0.293773869344796,,0.238636363636364
O15212,O14802,PFDN6,POLR3A,huMAP3_08487.1,0.293773869344796,,0.238636363636364
O15212,O15160,PFDN6,POLR1C,huMAP3_06426.1,0.122966996780561,,0.161616161616162
O15212,O15160,PFDN6,POLR1C,huMAP3_08487.1,0.122966996780561,,0.161616161616162
O15235,O15213,MRPS12,WDR46,huMAP3_05807.1,0.267918078849237,,0.0241935483870968
O15260,O14681,SURF4,EI24,huMAP3_06247.1,-0.61559991707169,,0.478787878787879
O15260,O14681,SURF4,EI24,huMAP3_07410.1,-0.61559991707169,,0.478787878787879
O15260,O14828,SURF4,SCAMP3,huMAP3_06247.1,-0.878695790621685,,0.315151515151515
O15260,O15127,SURF4,SCAMP2,huMAP3_06247.1,-0.485662651680566,,0.355491329479769
O15260,O15127,SURF4,SCAMP2,huMAP3_07410.1,-0.485662651680566,,0.355491329479769
O15321,O14681,TM9SF1,EI24,huMAP3_06247.1,-0.113398091197297,,0.415430267062315
O15321,O14828,TM9SF1,SCAMP3,huMAP3_06247.1,-0.502055887547091,,0.281818181818182
O15321,O14980,TM9SF1,XPO1,huMAP3_06791.1,-1.93708852149924,,0.313218390804598
O15321,O15127,TM9SF1,SCAMP2,huMAP3_06247.1,0.339916993841091,,0.293785310734463
O15321,O15260,TM9SF1,SURF4,huMAP3_06247.1,-0.151814239816822,,0.385245901639344
O15371,O00303,EIF3D,EIF3F,huMAP3_01276.1,1.29597264932179,,0.6
O15372,O00303,EIF3H,EIF3F,huMAP3_01276.1,1.0883288799806,,0.576923076923077
O15372,O15371,EIF3H,EIF3D,huMAP3_01276.1,0.997599535494107,,0.681818181818182
O15400,A2RRP1,STX7,NBAS,huMAP3_06458.1,-0.901525507636082,,0.476923076923077
O15400,A2RRP1,STX7,NBAS,huMAP3_08929.1,-0.804914500897117,,0.476923076923077
O15400,O00161,STX7,SNAP23,huMAP3_06458.1,0.196403134747656,,0.307692307692308
O15400,O00161,STX7,SNAP23,huMAP3_08929.1,0.244092009949539,,0.307692307692308
O15400,O14653,STX7,GOSR2,huMAP3_06458.1,-0.86683747217656,,0.35632183908046
O15400,O14653,STX7,GOSR2,huMAP3_08929.1,-0.86683747217656,,0.35632183908046
O15400,O14662,STX7,STX16,huMAP3_00053.1,-1.20293959595623,,0.387096774193548
O15400,O14662,STX7,STX16,huMAP3_06458.1,-0.587633972889627,,0.387096774193548
O15400,O14662,STX7,STX16,huMAP3_08929.1,-0.746201819225479,,0.387096774193548
O15400,O15155,STX7,BET1,huMAP3_06458.1,-0.379510667120437,,0.350649350649351
O15400,O15155,STX7,BET1,huMAP3_08929.1,-0.379510667120437,,0.350649350649351
O15439,O00182,ABCC4,LGALS9,huMAP3_06126.1,-1.61646626849894,,0.317307692307692
O15439,O00182,ABCC4,LGALS9,huMAP3_08376.1,-1.61646626849894,,0.317307692307692
O15446,O14802,POLR1G,POLR3A,huMAP3_00807.1,-0.695098890256361,,0.452830188679245
O15446,O14802,POLR1G,POLR3A,huMAP3_06426.1,-0.695098890256361,,0.452830188679245
O15446,O14802,POLR1G,POLR3A,huMAP3_08487.1,-0.695098890256361,,0.452830188679245
O15446,O15160,POLR1G,POLR1C,huMAP3_06426.1,0.515990732860024,,0.482142857142857
O15446,O15160,POLR1G,POLR1C,huMAP3_08487.1,0.515990732860024,,0.482142857142857
O15446,O15212,POLR1G,PFDN6,huMAP3_00807.1,-0.163435304759806,,0.108433734939759
O15446,O15212,POLR1G,PFDN6,huMAP3_06426.1,-0.443377209709617,,0.108433734939759
O15446,O15212,POLR1G,PFDN6,huMAP3_08487.1,-0.443377209709617,,0.108433734939759
O15498,A2RRP1,YKT6,NBAS,huMAP3_06458.1,-0.837234139906141,,0.472727272727273
O15498,A2RRP1,YKT6,NBAS,huMAP3_08929.1,-0.754517420852967,,0.472727272727273
O15498,O00161,YKT6,SNAP23,huMAP3_06458.1,-1.34544923184693,,0.3
O15498,O00161,YKT6,SNAP23,huMAP3_08929.1,-1.3210190500736,,0.3
O15498,O14653,YKT6,GOSR2,huMAP3_06458.1,-0.672646236643102,,0.337662337662338
O15498,O14653,YKT6,GOSR2,huMAP3_08929.1,-0.672646236643102,,0.337662337662338
O15498,O14662,YKT6,STX16,huMAP3_00053.1,-0.995247943863539,,0.51063829787234
O15498,O14662,YKT6,STX16,huMAP3_06458.1,-1.36610501020335,,0.51063829787234
