Cell_line	SIDM	Project_Identifier	Tissue_type	Cancer_type	Cancer_subtype
NCI-H1105	SIDM00652	SIDM00652;NCI-H1105	Lung	Small Cell Lung Carcinoma	
SU-DHL-6	SIDM00407	SIDM00407;SU-DHL-6	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
TE-9	SIDM00325	SIDM00325;TE-9	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
MHH-CALL-4	SIDM00376	SIDM00376;MHH-CALL-4	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
NCI-H2452	SIDM00722	SIDM00722;NCI-H2452	Lung	Mesothelioma	Pleural Biphasic Mesothelioma
NCI-H2342	SIDM00727	SIDM00727;NCI-H2342	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
MFE-280	SIDM00335	SIDM00335;MFE-280	Endometrium	Endometrial Carcinoma	Endometrial adenocarcinoma
SK-MM-2	SIDM00391	SIDM00391;SK-MM-2	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
Hs-633T	SIDM00667	SIDM00667;Hs-633T	Soft Tissue	Other Sarcomas	Fibrosarcoma
D-263MG	SIDM00732	SIDM00732;D-263MG	Central Nervous System	Glioblastoma	
DU-145	SIDM00120	SIDM00120;DU-145	Prostate	Prostate Carcinoma	
NCI-H1792	SIDM00771	SIDM00771;NCI-H1792	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
SK-LMS-1	SIDM01109	SIDM01109;SK-LMS-1	Soft Tissue	Leiomyosarcoma	Vulvar Leiomyosarcoma
SKN	SIDM00377	SIDM00377;SKN	Soft Tissue	Leiomyosarcoma	Uterine Corpus Leiomyosarcoma
BFTC-905	SIDM00989	SIDM00989;BFTC-905	Bladder	Bladder Carcinoma	Urothelial carcinoma
IST-MEL1	SIDM00225	SIDM00225;IST-MEL1	Skin	Melanoma	
NCI-H2461	SIDM00102	SIDM00102;NCI-H2461	Lung	Mesothelioma	Pleural Epithelioid Mesothelioma
HO-1-N-1	SIDM00592	SIDM00592;HO-1-N-1	Head and Neck	Head and Neck Carcinoma	Oral Cavity Squamous Cell Carcinoma
FU97	SIDM00503	SIDM00503;FU97	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
IST-MES1	SIDM00224	SIDM00224;IST-MES1	Lung	Mesothelioma	Pleural Epithelioid Mesothelioma
D-283MED	SIDM00888	SIDM00888;D-283MED	Central Nervous System	Other Solid Carcinomas	Medulloblastoma
KYSE-70	SIDM01024	SIDM01024;KYSE-70	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
KARPAS-422	SIDM01008	SIDM01008;KARPAS-422	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
RO82-W-1	SIDM00218	SIDM00218;RO82-W-1	Thyroid	Thyroid Gland Carcinoma	Thyroid gland follicular carcinoma
HDLM-2	SIDM01064	SIDM01064;HDLM-2	Haematopoietic and Lymphoid	Hodgkin's Lymphoma	
NCI-H1651	SIDM00744	SIDM00744;NCI-H1651	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
TE-441-T	SIDM01173	SIDM01173;TE-441-T	Soft Tissue	Rhabdomyosarcoma	
IA-LM	SIDM00306	SIDM00306;IA-LM	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
8305C	SIDM00997	SIDM00997;8305C	Thyroid	Thyroid Gland Carcinoma	Thyroid gland anaplastic carcinoma
EFM-19	SIDM01056	SIDM01056;EFM-19	Breast	Breast Carcinoma	Ductal Breast Carcinoma
EW-3	SIDM00202	SIDM00202;EW-3	Bone	Ewing's Sarcoma	
CHP-126	SIDM00286	SIDM00286;CHP-126	Peripheral Nervous System	Neuroblastoma	
HCC38	SIDM00675	SIDM00675;HCC38	Breast	Breast Carcinoma	Ductal Breast Carcinoma
HCC1395	SIDM00884	SIDM00884;HCC1395	Breast	Breast Carcinoma	Ductal Breast Carcinoma
NCI-H2731	SIDM00098	SIDM00098;NCI-H2731	Lung	Mesothelioma	Pleural Sarcomatoid Mesothelioma
