Cell_line	SIDM	Project_Identifier	Tissue_type	Cancer_type	Cancer_subtype
COR-L32	SIDM00508	SIDM00508;COR-L32	Lung	Uncertain	
NCI-H510A	SIDM00927	SIDM00927;NCI-H510A	Lung	Small Cell Lung Carcinoma	
NCI-H2171	SIDM00733	SIDM00733;NCI-H2171	Lung	Small Cell Lung Carcinoma	
KP-N-RT-BM-1	SIDM00557	SIDM00557;KP-N-RT-BM-1	Peripheral Nervous System	Neuroblastoma	
NCI-H660	SIDM01123	SIDM01123;NCI-H660	Prostate	Prostate Carcinoma	Prostate small cell carcinoma
NCI-H1836	SIDM00770	SIDM00770;NCI-H1836	Lung	Small Cell Lung Carcinoma	
SNU-475	SIDM01196	SIDM01196;SNU-475	Liver	Hepatocellular Carcinoma	
VMRC-RCW	SIDM00318	SIDM00318;VMRC-RCW	Kidney	Kidney Carcinoma	
NCI-H1304	SIDM00648	SIDM00648;NCI-H1304	Lung	Small Cell Lung Carcinoma	
SC-1	SIDM00400	SIDM00400;SC-1	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Follicular lymphoma
SCC-25	SIDM01082	SIDM01082;SCC-25	Head and Neck	Head and Neck Carcinoma	Tongue Squamous Cell Carcinoma
VMRC-MELG	SIDM00319	SIDM00319;VMRC-MELG	Skin	Melanoma	
IST-SL2	SIDM00230	SIDM00230;IST-SL2	Lung	Small Cell Lung Carcinoma	
